X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
216.2,1,1,1,3,1,3,3,6,5,4,5,8,10,5,5,5,8,7,4,2,1,4,2,1,1
218.62,1,1,1,4,1,3,3,5,5,4,5,8,10,6,5,5,8,7,4,2,1,4,2,1,1
221.04,1,1,1,4,1,3,3,6,5,4,5,7,9,6,5,5,8,7,3,2,2,5,2,1,1
223.46,0,1,1,4,2,2,3,7,5,4,5,8,10,6,5,4,8,6,4,2,2,5,3,1,1
225.88,0,1,1,4,2,2,3,7,6,4,4,8,10,7,5,4,8,6,5,2,2,5,3,1,1
228.3,0,1,1,4,2,2,3,7,5,4,4,8,10,7,5,3,7,6,5,2,2,5,3,1,1
230.72,0,1,1,4,2,2,3,8,5,4,4,8,10,7,5,3,7,6,5,2,2,5,3,2,1
233.14,0,1,1,4,3,2,3,8,5,4,4,8,10,8,5,4,7,6,5,2,2,4,3,3,1
235.56,0,1,1,4,3,2,3,8,5,3,5,8,9,8,5,4,7,7,5,2,2,4,3,3,1
237.98,0,1,1,4,3,2,4,7,5,3,5,9,9,8,5,4,7,7,5,2,2,4,3,3,1
240.4,0,0,1,4,3,2,4,6,5,3,5,9,9,8,5,4,7,7,5,2,2,4,3,3,1
242.82,0,0,1,4,3,2,4,5,5,3,5,9,9,8,5,3,7,8,5,2,2,4,2,3,1
245.24,0,0,1,4,3,2,4,6,5,3,4,9,9,9,5,3,8,8,5,2,2,4,2,2,1
247.66,0,0,1,4,3,2,4,6,5,3,4,10,10,10,5,3,8,9,6,2,2,4,2,2,2
250.08,0,0,1,4,2,2,4,6,5,3,4,10,10,10,5,3,8,9,6,2,2,4,3,2,2
252.5,0,0,1,3,2,2,4,6,5,3,4,10,10,10,5,3,9,9,6,2,2,3,3,2,2
254.92,0,0,1,3,2,1,4,6,4,3,4,9,10,10,5,3,9,9,6,2,2,3,3,2,2
257.34,0,0,1,3,2,1,4,6,5,3,4,9,9,9,5,3,9,10,6,2,2,3,3,3,1
259.76,0,0,1,3,2,1,4,6,5,3,3,9,9,9,4,3,9,10,6,2,2,3,3,3,1
262.18,0,0,1,2,2,1,4,5,6,3,3,9,9,9,4,3,8,10,6,2,2,3,3,3,1
264.6,0,0,1,2,2,1,4,5,6,3,3,9,9,10,4,3,7,10,7,2,2,3,4,3,1
267.02,0,0,1,2,2,1,4,5,6,3,3,9,11,10,3,3,7,10,7,2,2,3,4,3,0
269.44,0,0,1,2,2,1,3,5,6,3,3,9,11,10,3,3,7,10,7,2,0,3,4,3,0
271.86,0,0,1,2,2,1,3,5,6,3,3,9,12,10,3,3,7,10,7,2,0,3,4,3,0
274.28,0,0,1,2,2,1,3,5,6,3,3,9,12,10,3,3,7,10,7,2,0,3,4,3,0
276.7,0,1,1,2,2,1,4,5,8,3,3,9,12,8,4,3,7,11,7,2,0,3,4,3,0
279.12,0,1,1,2,2,1,4,5,8,3,3,8,12,9,4,3,7,11,7,2,0,3,4,3,0
281.54,0,1,1,2,2,1,5,6,7,3,3,8,12,10,5,3,7,11,7,2,0,2,4,3,0
283.96,0,1,1,2,2,1,6,6,7,2,3,8,12,9,5,3,7,11,7,1,0,2,4,2,0
286.38,0,1,1,2,2,2,5,7,7,2,3,8,12,9,5,3,8,11,8,1,0,3,4,2,0
288.8,0,1,0,2,2,2,5,8,7,2,4,7,13,9,5,3,8,10,8,0,0,3,4,2,0
291.22,0,1,0,2,2,2,5,8,7,2,4,7,13,9,5,3,7,10,8,0,0,3,4,2,0
293.64,0,1,0,2,2,2,4,8,7,3,4,7,13,8,5,3,7,10,7,0,0,3,4,2,0
296.06,0,1,0,2,2,2,4,8,7,4,4,8,13,8,6,4,7,10,7,0,0,3,4,2,0
298.48,0,1,1,2,2,2,4,10,7,4,4,8,13,8,5,4,7,9,7,0,0,3,4,1,0
300.9,0,1,1,2,2,2,4,10,7,4,4,9,13,8,5,4,7,9,7,0,0,3,4,1,0
303.32,0,1,1,3,2,2,4,10,7,4,4,9,14,8,3,3,7,10,7,0,0,3,4,1,0
305.74,0,1,1,3,2,3,4,11,7,4,4,9,13,8,3,2,7,10,7,0,0,3,4,1,0
308.16,0,1,1,3,1,3,4,11,6,4,4,8,13,9,3,2,7,10,7,0,0,2,4,1,0
310.58,0,1,1,3,1,3,4,11,6,4,4,8,13,9,4,2,7,10,7,0,1,2,4,1,0
313,0,1,1,3,1,3,4,10,6,4,4,9,14,9,4,1,8,10,7,0,1,2,3,1,0
315.42,0,0,1,3,1,3,4,10,6,4,4,9,13,9,4,1,8,10,6,0,1,2,3,1,0
317.84,0,0,1,3,1,2,5,11,6,4,4,9,13,9,4,1,8,9,6,0,1,2,3,1,0
320.26,0,0,1,4,0,2,5,11,6,4,4,9,13,9,4,1,8,9,5,0,1,2,3,1,0
322.68,0,0,1,4,0,2,6,10,6,4,4,9,13,9,4,1,9,9,4,0,1,2,3,1,0
325.1,0,0,1,3,0,2,6,10,6,5,3,9,13,9,4,1,9,9,4,0,1,2,3,1,0
327.52,0,0,1,3,1,2,6,10,6,5,3,9,13,9,4,2,8,8,4,1,1,2,3,1,0
329.94,0,0,1,3,1,2,6,11,6,5,3,9,12,8,4,2,7,8,4,1,1,2,3,2,0
332.36,0,1,1,3,1,2,8,11,6,4,1,9,12,9,4,2,7,8,4,1,1,1,3,2,0
334.78,0,1,2,3,1,2,8,10,6,4,1,9,12,10,4,2,7,7,4,1,1,1,3,2,0
337.2,0,1,3,3,1,2,8,9,7,3,2,9,12,10,4,2,6,8,4,1,1,1,3,2,0
339.62,0,1,3,3,1,1,8,9,7,3,2,8,12,11,4,2,6,7,4,1,1,2,2,2,0
342.04,0,1,5,3,1,1,8,9,7,3,2,8,12,11,4,3,6,6,4,2,1,2,2,2,0
344.46,0,1,4,3,1,1,8,8,9,3,2,8,12,11,3,3,5,6,4,2,1,2,2,2,0
