File,Run,Module,Name,
Red8012154-1067.sca,Red8012154-1067-20121127-00:01:15-15989,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.929436
Red8012154-1068.sca,Red8012154-1068-20121127-00:01:34-15999,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.959795
Red8012154-1069.sca,Red8012154-1069-20121127-00:01:48-16009,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.862447
Red8012154-107.sca,Red8012154-107-20121126-22:03:42-10704,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,1
Red8012154-1070.sca,Red8012154-1070-20121127-00:02:01-16019,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.878691
Red8012154-1071.sca,Red8012154-1071-20121127-00:02:20-16032,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.940316
Red8012154-1072.sca,Red8012154-1072-20121127-00:02:32-16040,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.925186
Red8012154-1073.sca,Red8012154-1073-20121127-00:02:47-16050,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.949087
Red8012154-1074.sca,Red8012154-1074-20121127-00:03:03-16061,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.946076
Red8012154-1075.sca,Red8012154-1075-20121127-00:03:14-16068,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.899174
Red8012154-1076.sca,Red8012154-1076-20121127-00:03:30-16081,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.923588
Red8012154-1077.sca,Red8012154-1077-20121127-00:03:45-16088,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.951543
Red8012154-1078.sca,Red8012154-1078-20121127-00:04:02-16103,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.911526
Red8012154-1079.sca,Red8012154-1079-20121127-00:04:10-16107,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.961414
Red8012154-108.sca,Red8012154-108-20121126-22:03:43-10705,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,1
Red8012154-1080.sca,Red8012154-1080-20121127-00:04:33-16123,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.947681
Red8012154-1081.sca,Red8012154-1081-20121127-00:04:42-16130,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.889841
Red8012154-1082.sca,Red8012154-1082-20121127-00:05:06-16147,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.929082
Red8012154-1083.sca,Red8012154-1083-20121127-00:05:14-16151,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.890088
Red8012154-1084.sca,Red8012154-1084-20121127-00:05:39-16167,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.884848
Red8012154-1085.sca,Red8012154-1085-20121127-00:05:45-16171,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.925907
Red8012154-1086.sca,Red8012154-1086-20121127-00:06:12-16190,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.886796
Red8012154-1087.sca,Red8012154-1087-20121127-00:06:16-16194,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.898689
Red8012154-1088.sca,Red8012154-1088-20121127-00:06:43-16210,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.948406
Red8012154-1089.sca,Red8012154-1089-20121127-00:06:47-16214,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.965414
Red8012154-109.sca,Red8012154-109-20121126-22:03:50-10709,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.983333
Red8012154-1090.sca,Red8012154-1090-20121127-00:07:12-16230,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.948529
Red8012154-1091.sca,Red8012154-1091-20121127-00:07:14-16231,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.892034
Red8012154-1092.sca,Red8012154-1092-20121127-00:07:39-16248,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.893383
Red8012154-1093.sca,Red8012154-1093-20121127-00:07:45-16252,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.905172
Red8012154-1094.sca,Red8012154-1094-20121127-00:08:12-16273,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.887311
Red8012154-1095.sca,Red8012154-1095-20121127-00:08:13-16274,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.950884
Red8012154-1096.sca,Red8012154-1096-20121127-00:08:44-16293,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.940228
Red8012154-1097.sca,Red8012154-1097-20121127-00:08:44-16294,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.895627
Red8012154-1098.sca,Red8012154-1098-20121127-00:09:15-16313,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.933155
Red8012154-1099.sca,Red8012154-1099-20121127-00:09:18-16317,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.936993
Red8012154-11.sca,Red8012154-11-20121126-21:56:22-10291,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.916667
Red8012154-110.sca,Red8012154-110-20121126-22:03:50-10710,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.964103
Red8012154-1100.sca,Red8012154-1100-20121127-00:09:41-16335,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.95738
Red8012154-1101.sca,Red8012154-1101-20121127-00:09:47-16339,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.891248
Red8012154-1102.sca,Red8012154-1102-20121127-00:10:12-16355,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.910599
Red8012154-1103.sca,Red8012154-1103-20121127-00:10:17-16359,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.906957
Red8012154-1104.sca,Red8012154-1104-20121127-00:10:45-16375,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.896049
Red8012154-1105.sca,Red8012154-1105-20121127-00:10:47-16379,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.919903
Red8012154-1106.sca,Red8012154-1106-20121127-00:11:14-16395,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.922994
Red8012154-1107.sca,Red8012154-1107-20121127-00:11:17-16399,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.942182
Red8012154-1108.sca,Red8012154-1108-20121127-00:11:45-16415,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.929669
Red8012154-1109.sca,Red8012154-1109-20121127-00:11:52-16422,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.929918
Red8012154-111.sca,Red8012154-111-20121126-22:03:56-10717,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.958333
Red8012154-1110.sca,Red8012154-1110-20121127-00:12:12-16435,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.946574
Red8012154-1111.sca,Red8012154-1111-20121127-00:12:19-16439,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.958404
Red8012154-1112.sca,Red8012154-1112-20121127-00:12:41-16456,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.909459
Red8012154-1113.sca,Red8012154-1113-20121127-00:12:52-16464,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.895035
Red8012154-1114.sca,Red8012154-1114-20121127-00:13:12-16477,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.923938
Red8012154-1115.sca,Red8012154-1115-20121127-00:13:24-16484,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.921313
Red8012154-1116.sca,Red8012154-1116-20121127-00:13:42-16497,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.958851
Red8012154-1117.sca,Red8012154-1117-20121127-00:13:57-16507,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.933517
Red8012154-1118.sca,Red8012154-1118-20121127-00:14:13-16517,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.953199
Red8012154-1119.sca,Red8012154-1119-20121127-00:14:30-16527,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.908157
Red8012154-112.sca,Red8012154-112-20121126-22:03:58-10718,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.951042
Red8012154-1120.sca,Red8012154-1120-20121127-00:14:47-16540,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.970225
Red8012154-1121.sca,Red8012154-1121-20121127-00:14:58-16547,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.927818
Red8012154-1122.sca,Red8012154-1122-20121127-00:15:16-16560,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.930929
Red8012154-1123.sca,Red8012154-1123-20121127-00:15:26-16567,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.970075
Red8012154-1124.sca,Red8012154-1124-20121127-00:15:49-16580,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.900915
Red8012154-1125.sca,Red8012154-1125-20121127-00:16:00-16588,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.908676
Red8012154-1126.sca,Red8012154-1126-20121127-00:16:21-16604,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.931168
Red8012154-1127.sca,Red8012154-1127-20121127-00:16:33-16611,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.920554
Red8012154-1128.sca,Red8012154-1128-20121127-00:16:57-16627,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.872507
Red8012154-1129.sca,Red8012154-1129-20121127-00:16:59-16628,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.878984
Red8012154-113.sca,Red8012154-113-20121126-22:04:03-10722,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.903846
Red8012154-1130.sca,Red8012154-1130-20121127-00:17:25-16650,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.914527
Red8012154-1131.sca,Red8012154-1131-20121127-00:17:31-16654,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.880776
Red8012154-1132.sca,Red8012154-1132-20121127-00:17:59-16672,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.964121
Red8012154-1133.sca,Red8012154-1133-20121127-00:18:00-16673,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.946405
Red8012154-1134.sca,Red8012154-1134-20121127-00:18:28-16692,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.931054
Red8012154-1135.sca,Red8012154-1135-20121127-00:18:33-16696,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.939229
Red8012154-1136.sca,Red8012154-1136-20121127-00:19:01-16715,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.95567
Red8012154-1137.sca,Red8012154-1137-20121127-00:19:04-16716,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.941045
Red8012154-1138.sca,Red8012154-1138-20121127-00:19:31-16735,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.92955
Red8012154-1139.sca,Red8012154-1139-20121127-00:19:38-16739,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.88651
Red8012154-114.sca,Red8012154-114-20121126-22:04:07-10726,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,1
Red8012154-1140.sca,Red8012154-1140-20121127-00:20:04-16755,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.930682
Red8012154-1141.sca,Red8012154-1141-20121127-00:20:07-16759,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.911639
Red8012154-1142.sca,Red8012154-1142-20121127-00:20:33-16775,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.922788
Red8012154-1143.sca,Red8012154-1143-20121127-00:20:36-16779,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.927848
Red8012154-1144.sca,Red8012154-1144-20121127-00:21:05-16798,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.923952
Red8012154-1145.sca,Red8012154-1145-20121127-00:21:09-16799,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.968075
Red8012154-1146.sca,Red8012154-1146-20121127-00:21:39-16818,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.896743
Red8012154-1147.sca,Red8012154-1147-20121127-00:21:41-16822,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.94893
Red8012154-1148.sca,Red8012154-1148-20121127-00:22:07-16838,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.875597
Red8012154-1149.sca,Red8012154-1149-20121127-00:22:12-16844,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.902051
Red8012154-115.sca,Red8012154-115-20121126-22:04:10-10727,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.961538
Red8012154-1150.sca,Red8012154-1150-20121127-00:22:40-16860,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.947121
Red8012154-1151.sca,Red8012154-1151-20121127-00:22:44-16864,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.919034
Red8012154-1152.sca,Red8012154-1152-20121127-00:23:11-16885,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.920951
Red8012154-1153.sca,Red8012154-1153-20121127-00:23:12-16886,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.888811
Red8012154-1154.sca,Red8012154-1154-20121127-00:23:42-16905,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.934741
Red8012154-1155.sca,Red8012154-1155-20121127-00:23:44-16906,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.925496
Red8012154-1156.sca,Red8012154-1156-20121127-00:24:14-16926,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.950893
Red8012154-1157.sca,Red8012154-1157-20121127-00:24:19-16930,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.927348
Red8012154-1158.sca,Red8012154-1158-20121127-00:24:46-16949,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.918228
Red8012154-1159.sca,Red8012154-1159-20121127-00:24:54-16953,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.957216
Red8012154-116.sca,Red8012154-116-20121126-22:04:16-10734,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.983333
Red8012154-1160.sca,Red8012154-1160-20121127-00:25:15-16971,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.923445
Red8012154-1161.sca,Red8012154-1161-20121127-00:25:22-16975,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.881874
Red8012154-1162.sca,Red8012154-1162-20121127-00:25:48-16991,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.940251
Red8012154-1163.sca,Red8012154-1163-20121127-00:25:53-16995,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.904819
Red8012154-1164.sca,Red8012154-1164-20121127-00:26:18-17011,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.960715
Red8012154-1165.sca,Red8012154-1165-20121127-00:26:24-17015,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.895598
Red8012154-1166.sca,Red8012154-1166-20121127-00:26:49-17031,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.907727
Red8012154-1167.sca,Red8012154-1167-20121127-00:26:52-17035,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.940554
Red8012154-1168.sca,Red8012154-1168-20121127-00:27:22-17054,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.908943
Red8012154-1169.sca,Red8012154-1169-20121127-00:27:22-17055,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.949839
Red8012154-117.sca,Red8012154-117-20121126-22:04:18-10735,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,1
Red8012154-1170.sca,Red8012154-1170-20121127-00:27:52-17076,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.927836
Red8012154-1171.sca,Red8012154-1171-20121127-00:27:57-17081,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.947709
Red8012154-1172.sca,Red8012154-1172-20121127-00:28:24-17098,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.937437
Red8012154-1173.sca,Red8012154-1173-20121127-00:28:29-17102,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.9144
Red8012154-1174.sca,Red8012154-1174-20121127-00:28:54-17118,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.957404
Red8012154-1175.sca,Red8012154-1175-20121127-00:28:57-17122,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.973092
Red8012154-1176.sca,Red8012154-1176-20121127-00:29:26-17143,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.954131
Red8012154-1177.sca,Red8012154-1177-20121127-00:29:26-17144,ieee802154Narrow.anchor[8].appl,Effectiveness in each anchor,0.982539
